1,22,MA000001,2,B.2.1,Staff Employees,Group B,Laboratory Assistant,2,12,33,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:29.0000000,2025,2026-05-18 02:01:30.8633333,2026-05-18 02:01:30.8633333
2,108969,MA000001,2,B.2.1,Staff Employees,Group K,Undermanager,11,79,97,2025-07-01 00:00:00.0000000,NULL,8,2025-06-03 01:30:27.0000000,2025,2026-05-18 02:01:30.9066667,2026-05-18 02:01:30.9066667
3,83,MA000001,2,B.2.1,Staff Employees,Group J,EDP Supervisor,10,NULL,NULL,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:26.0000000,2025,2026-05-18 02:01:30.9333333,2026-05-18 02:01:30.9333333
4,90788,MA000001,23036,A.6.7,Production and Engineering Employees - Apprentices (including adult apprentices) that commenced prior to 1 January 2014,Apprentices other than adult apprentices,2nd year of experience—60,2,90787,90789,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:30:35.0000000,2025,2026-05-18 02:01:30.9633333,2026-05-18 02:01:30.9633333
5,90236,MA000001,22929,B.2.1*_Formatted,NULL,NULL,Group C,3,90235,90237,2025-07-01 00:00:00.0000000,NULL,6,2025-06-03 01:30:33.0000000,2025,2026-05-18 02:01:31.0033333,2026-05-18 02:01:31.0033333
6,21,MA000001,2,B.2.1,Staff Employees,Group B,Clerk,2,11,31,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:29.0000000,2025,2026-05-18 02:01:31.0400000,2026-05-18 02:01:31.0400000
7,30,MA000001,2,B.2.1,Staff Employees,Group C,Computer Operator,3,NULL,45,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:23.0000000,2025,2026-05-18 02:01:31.0666667,2026-05-18 02:01:31.0666667
8,78,MA000001,2,B.2.1,Staff Employees,Group J,Geologist,10,NULL,86,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:26.0000000,2025,2026-05-18 02:01:31.0900000,2026-05-18 02:01:31.0900000
9,90244,MA000001,22929,B.2.1*_Formatted,NULL,NULL,Group K,11,90243,90245,2025-07-01 00:00:00.0000000,NULL,6,2025-06-03 01:30:33.0000000,2025,2026-05-18 02:01:31.1033333,2026-05-18 02:01:31.1033333
10,90798,MA000001,23037,A.6.8(b)(i),Production and Engineering Employees: Apprentice (other than adult apprentices) that commenced on or after 1 January 2014,Has not completed year 12,Stage 3—75%,3,90797,90799,2025-07-01 00:00:00.0000000,NULL,5,2025-06-03 01:30:35.0000000,2025,2026-05-18 02:01:31.1300000,2026-05-18 02:01:31.1300000
11,56,MA000001,2,B.2.1,Staff Employees,Group G,Safety Officer,7,35,NULL,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:25.0000000,2025,2026-05-18 02:01:31.1500000,2026-05-18 02:01:31.1500000
12,90249,MA000001,22929,B.2.1*_Formatted,NULL,NULL,Graduate Engineer – Level 3,12,90248,NULL,2025-07-01 00:00:00.0000000,NULL,6,2025-06-03 01:30:33.0000000,2025,2026-05-18 02:01:31.2000000,2026-05-18 02:01:31.2000000
13,90812,MA000001,23040,B.2.2,Staff Employees: Juniors,NULL,17 years—70,2,90811,90813,2025-07-01 00:00:00.0000000,NULL,6,2025-06-03 01:30:34.0000000,2025,2026-05-18 02:01:31.2400000,2026-05-18 02:01:31.2400000
14,80,MA000001,2,B.2.1,Staff Employees,Group J,Senior Foreperson,10,62,NULL,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:26.0000000,2025,2026-05-18 02:01:31.2600000,2026-05-18 02:01:31.2600000
15,58,MA000001,2,B.2.1,Staff Employees,Group H,GROUP H,8,48,48,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:25.0000000,2025,2026-05-18 02:01:31.2833333,2026-05-18 02:01:31.2833333
16,59,MA000001,2,B.2.1,Staff Employees,Group H,Deputy,8,NULL,NULL,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:25.0000000,2025,2026-05-18 02:01:31.3133333,2026-05-18 02:01:31.3133333
17,90251,MA000001,22929,B.2.1*_Formatted,NULL,NULL,Commercial Graduate – Level 2,4,90250,90252,2025-07-01 00:00:00.0000000,NULL,6,2025-06-03 01:30:34.0000000,2025,2026-05-18 02:01:31.3500000,2026-05-18 02:01:31.3500000
18,29,MA000001,2,B.2.1,Staff Employees,Group C,GROUP C,3,17,36,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:23.0000000,2025,2026-05-18 02:01:31.3700000,2026-05-18 02:01:31.3700000
19,31,MA000001,2,B.2.1,Staff Employees,Group C,Senior Clerk,3,21,NULL,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:23.0000000,2025,2026-05-18 02:01:31.3900000,2026-05-18 02:01:31.3900000
20,90243,MA000001,22929,B.2.1*_Formatted,NULL,NULL,Group J,10,90242,90244,2025-07-01 00:00:00.0000000,NULL,6,2025-06-03 01:30:33.0000000,2025,2026-05-18 02:01:31.4133333,2026-05-18 02:01:31.4133333
21,90821,MA000001,23042,B.2.3(b),Staff Employees: Commercial Graduate rates,NULL,Commercial Graduate – Level 3—94,3,90820,NULL,2025-07-01 00:00:00.0000000,NULL,6,2025-06-03 01:30:35.0000000,2025,2026-05-18 02:01:31.4533333,2026-05-18 02:01:31.4533333
22,90946,MA000001,2,B.2.1,Staff Employees,Group I,Mines Rescue Training Officer Level 2,9,90948,90947,2025-07-01 00:00:00.0000000,NULL,7,2025-06-03 01:30:27.0000000,2025,2026-05-18 02:01:31.4933333,2026-05-18 02:01:31.4933333
